id,category,kanji,reading,english,burmese
57,"Steel Structure","シャルピー吸収エネルギー","シャルピーきゅうしゅうエネルギー","Charpy Absorption Energy","Charpy စုပ်ယူနိုင်သော စွမ်းအင်"
58,"Steel Structure","熱処理","ねつしょり","Heat Treatment","အပူပေး ကုသခြင်း"
59,"Steel Structure","機械的性質","きかいてきせいしつ","Mechanical Properties","စက်မှုပိုင်းဆိုင်ရာ ဂုဏ်သတ္တိများ"
60,"Steel Structure","溶接接合","ようせつせつごう","Welding Connection","ဂဟေဆက် ဆက်သွယ်မှု"
61,"Steel Structure","高力ボルト接合","こうりょくボルトせつごう","High-strength Bolt Connection","ခံနိုင်ရည်မြင့် Bolt ဆက်သွယ်မှု"
62,"Steel Structure","摩擦接合","まさつせつごう","Friction Connection","ပွတ်တိုက်မှု ဆက်သွယ်မှု"
63,"Steel Structure","引張接合","ひっぱりせつごう","Tension Connection","ဆွဲအား ဆက်သွယ်မှု"
64,"Steel Structure","トルシア形高力ボルト","トルシアがたこうりょくボルト","Torque Shear Type High-strength Bolt","Torque Shear ပုံစံ ခံနိုင်ရည်မြင့် Bolt"
65,"Steel Structure","トルク係数","トルクけいすう","Torque Coefficient","လှည့်ပတ်အား ကိန်း"
66,"Steel Structure","ボルト張力","ボルトちょうりょく","Bolt Tension","Bolt ဆွဲအား"
67,"Steel Structure","フィラープレート","フィラープレート","Filler Plate","ဖြည့်စွက်ပြား"
68,"Steel Structure","隅肉溶接","すみにくようせつ","Fillet Weld","ထောင့်ဆက် ဂဟေ"
69,"Steel Structure","開先","かいさき","Groove / Bevel","ဂဟေဆက်ရန် မြောင်းဖောက်ခြင်း"
70,"Steel Structure","完全溶込み溶接","かんぜんすみこみようせつ","Full Penetration Weld","အလုံးစုံ စိမ့်ဝင် ဂဟေဆက်ခြင်း"
71,"Steel Structure","被覆アーク溶接","ひふくアークようせつ","Shielded Metal Arc Welding (SMAW)","Shield ကာ ဂဟေဆက်ခြင်း"
72,"Steel Structure","溶融亜鉛めっき","ようゆうあえんめっき","Hot-dip Galvanizing","သွပ်ရည်ပူစိမ်ခြင်း"
73,"Steel Structure","溶接終端部","ようせつしゅうたんぶ","Welding End Part","ဂဟေဆက် အဆုံးပိုင်း"
74,"Steel Structure","割裂","かくれつ","Splitting","ကွဲအက်ခြင်း"
75,"Steel Structure","塑性破壊","そせいはかい","Plastic Fracture","ပုံပြောင်း၍ ပျက်စီးခြင်း"
76,"Steel Structure","建設構造用圧延鋼材(SN材)","けんせつこうぞうようあつえんこうざい","Structural Steel for Building Construction (SN Material)","ဆောက်လုပ်ရေးသုံး ဖိနှိပ်ထားသော သံမဏိပစ္စည်း (SN)"
77,"Steel Structure","溶接構造用圧延鋼材(SM材)","ようせつこうぞうようあつえんこうざい","Rolled Steel for Welded Structures (SM Material)","ဂဟေဆက် တည်ဆောက်ပုံသုံး ဖိနှိပ်ထားသော သံမဏိပစ္စည်း (SM)"
78,"Steel Structure","建築構造用冷間成形角形鋼管","けんちくこうぞうようれいかんせいけいかくがたこうかん","Cold-formed square steel tube for building structures","အအေးခံပြုလုပ်ထားသော လေးထောင့်ပိုက်"
79,"Steel Structure","化学成分","かがくせいぶん","Chemical Composition","ဓာတုဖွဲ့စည်းမှု"
80,"Steel Structure","TMCP 鋼","ティーエムシーピーこう","TMCP Steel","TMCP နည်းပညာဖြင့် ပြုလုပ်ထားသော"
81,"Steel Structure","耐食性能","たいしょくせいのう","Corrosion Resistance Performance","သံချေးတက်ခြင်းကို ခံနိုင်ရည်ရှိမှု စွမ်းဆောင်ရည်"
82,"Steel Structure","柱梁接合部","ちゅうはりせつごうぶ","Column-Beam Connection","တိုင်နှင့် မြားတန်း ဆက်သွယ်ထားသော အပိုင်း"
83,"Steel Structure","ウェブ","ウェブ","Web Plate","ဝက်ဘ်ပြား (ရုံတန်း/တိုင်၏)"
84,"Steel Structure","フランジ","フランジ","Flange","Flange"
85,"Steel Structure","H形断面","Hがただんめん","H-shaped Cross-section","H ပုံစံ ဖြတ်ပိုင်း"
86,"Steel Structure","ダイヤフラム","ダイヤフラム","Diaphragm","ဒိုင်ယာဖရမ်"
87,"Steel Structure","ベースプレート","ベースプレート","Base Plate","အောက်ခံပြား"
88,"Steel Fabrication","鉄骨加工","てっこつかこう","Steel Fabrication","သံမဏိပုံသွင်းပြုပြင်ခြင်း"
89,"Steel Fabrication","JASS 6","JASS 6","JASS 6 (Architectural Standard)","ဂျပန် ဗိသုကာဆိုင်ရာ စံနှုန်း ၆"
90,"Steel Fabrication","設計図書","せっけいとしょ","Design Documents","ဒီဇိုင်းရေးဆွဲထားသော စာရွက်စာတမ်းများ"
91,"Steel Fabrication","施工品質","せこうひんしつ","Construction Quality","တည်ဆောက်မှု အရည်အသွေး"
92,"Steel Fabrication","設計品質","せっけいひんしつ","Design Quality","ဒီဇိုင်းအရည်အသွေး"
93,"Steel Fabrication","中間検査","ちゅうかんけんさ","Intermediate Inspection","ကြားကာလ စစ်ဆေးခြင်း"
94,"Steel Fabrication","受入検査","うけいれけんさ","Acceptance Inspection","လက်ခံရယူမှု စစ်ဆေးခြင်း"
95,"Steel Fabrication","社内検査","しゃないけんさ","In-house Inspection","လုပ်ငန်းတွင်း စစ်ဆေးခြင်း"
96,"Steel Fabrication","製品検査","せいひんけんさ","Product Inspection","ထုတ်ကုန် စစ်ဆေးခြင်း"
97,"Steel Fabrication","外注品検査","がいちゅうひんけんさ","Outsourced Item Inspection","အပြင်ကန်ထရိုက် ပစ္စည်း စစ်ဆေးခြင်း"
98,"Steel Fabrication","製作要領書","せいさくようりょうしょ","Fabrication Procedure Specification","ထုတ်လုပ်မှု လုပ်ငန်းစဉ် သတ်မှတ်ချက်စာရွက်"
99,"Steel Fabrication","品質管理要領書","ひんしつかんりようりょうしょ","Quality Management Manual","အရည်အသွေး စီမံခန့်ခွဲမှု လက်စွဲစာအုပ်"
100,"Steel Fabrication","工作図","こうさくず","Shop Drawing","လုပ်ငန်းခွင်သုံး ပုံများ"
101,"Steel Fabrication","工作図作成","こうさくずさくせい","Shop Drawing Preparation","လုပ်ငန်းခွင်သုံး ပုံရေးဆွဲခြင်း"
102,"Steel Fabrication","現寸","げんすん","Full-scale / Actual Dimension","အပြည့်အဝ အတိုင်းအတာ"
103,"Steel Fabrication","現寸検査","げんすんけんさ","Full-scale inspection","အတိုင်းအတာ အပြည့်အဝ စစ်ဆေးခြင်း"
104,"Steel Fabrication","数値制御","すうちせいぎょ","Numerical Control (NC)","ဂဏန်းထိန်းချုပ်မှု (စက်)"
105,"Steel Fabrication","孔あけ加工","こうあけかこう","Hole drilling/making","အပေါက်ဖောက်ခြင်း လုပ်ငန်း"
106,"Steel Fabrication","設備貫通孔","せつびかんつうこう","Equipment Penetrating Hole","စက်ပစ္စည်း ဖြတ်သန်းပေါက်"
107,"Steel Fabrication","せん断孔あけ","せんだんこうあけ","Shear Punching","ညှပ်ထိုး အပေါက်ဖောက်ခြင်း"
108,"Steel Fabrication","ドリル孔あけ","ドリルこうあけ","Drill Hole Drilling","Drillဖြင့် ဖောက်ခြင်း"
109,"Steel Fabrication","レーザ孔あけ","レーザこうあけ","Laser Hole Drilling","လေဆာဖြင့် ဖောက်ခြင်း"
110,"Steel Fabrication","鉄筋貫通孔","てっきんかんつうこう","Rebar Penetrating Hole","သံချောင်း ဖြတ်သန်းပေါက်"
111,"Steel Fabrication","溶接部","ようせつぶ","Welded Part","ဂဟေဆက်ထားသော အပိုင်း"
112,"Steel Fabrication","切断","せつだん","Cutting","ဖြတ်တောက်ခြင်း"
113,"Steel Fabrication","切削加工","せっさくかこう","Cutting/Machining","ဓားစားခံစက်ဖြင့် ပြုပြင်ခြင်း"
114,"Steel Fabrication","機械切断","きかいせつだん","Mechanical Cutting","စက်ဖြင့် ဖြတ်ခြင်း"
115,"Steel Fabrication","ガス切断","ガスせつだん","Gas Cutting","ဓာတ်ငွေ့ဖြင့် ဖြတ်ခြင်း"
116,"Steel Fabrication","プラズマ切断","プラズマせつだん","Plasma Cutting","ပလာစမာဖြင့် ဖြတ်ခြင်း"
117,"Steel Fabrication","開先加工","かいさきかこう","Groove Preparation","ဂဟေဆက်ရန် လျှာဖောက်ခြင်း"
118,"Steel Fabrication","せん断切断","せんだんせつだん","Shear Cutting","ညှပ်၍ ဖြတ်တောက်ခြင်း"
119,"Steel Fabrication","グラインダ","グラインダ","Grinder","သွေးစက်"
120,"Steel Fabrication","高力ボルト接合部","こうりょくボルトせつごうぶ","High-strength Bolt Connection","ခံနိုင်ရည်မြင့် ဘောလ် ဆက်သွယ်မှု"
121,"Steel Fabrication","摩擦面","まさつめん","Friction Surface","ပွတ်တိုက်မှု မျက်နှာပြင်"
122,"Steel Fabrication","摩擦処理","まさつしょり","Friction Surface Treatment","ပွတ်တိုက်မှု မျက်နှာပြင် ပြုပြင်ခြင်း"
123,"Steel Fabrication","発せい","はっせい","Rust formation","သံချေးတက်ခြင်း"
124,"Steel Fabrication","ショットブラスト","ショットブラスト","Shot Blasting","သတ္တုလုံးများ ပစ်သွင်း၍ မျက်နှာပြင်သန့်စင်ခြင်း"
125,"Steel Fabrication","グリットブラスト","グリットブラスト","Grit Blasting","သတ္တုမှုန့်များ ပစ်သွင်း၍ မျက်နှာပြင်သန့်စင်ခြင်း"
126,"Steel Fabrication","すべり係数","すべりけいすう","Slip Coefficient","ချော်လဲမှု ကိန်း (ပွတ်တိုက်မှု ကိန်း)"
127,"Steel Fabrication","溶融亜鉛めっき","ようゆうあえんめっき","Hot-dip Galvanizing","သွပ်ရည်ပူစိမ်ခြင်း"
128,"Steel Fabrication","フィラープレート","フィラープレート","Filler Plate","ဖြည့်စွက်ပြား"
129,"Steel Fabrication","組立て溶接","くみたてようせつ","Assembly Welding (Tack welding)","ယာယီ ဂဟေဆက်ခြင်း"
130,"Steel Fabrication","裏当て金","うらあてきん","Backing Metal / Plate","အနောက်ခံ သတ္တုပြား"
131,"Steel Fabrication","エンドタブ","エンドタブ","End Tab","ဂဟေစ/ဆုံး ထိန်းပြား"
132,"Steel Fabrication","低水素系溶接棒","ていすいそけいようせつぼう","Low Hydrogen Welding Rod","ဟိုက်ဒရိုဂျင်နည်း ဂဟေချောင်း"
133,"Steel Fabrication","母材","ぼざい","Base Material","အခြေခံ သတ္တုသား"
134,"Steel Fabrication","溶接姿勢","ようせつしせい","Welding Position","ဂဟေဆက်သည့် အနေအထား"
135,"Steel Fabrication","立向姿勢","たてむきしせい","Vertical Position","မတ်မတ် ဆက်သည့် အနေအထား"
136,"Steel Fabrication","下向姿勢","したむきしせい","Downhill/Flat Position","အောက်စိုက် ဆက်သည့် အနေအထား"
137,"Steel Fabrication","溶接電流","ようせつでんりゅう","Welding Current","ဂဟေဆက် လျှပ်စီးကြောင်း"
138,"Steel Fabrication","アーク電圧","アークでんあつ","Arc Voltage","အာ့ခ် (Arc) ဗို့အား"
139,"Steel Fabrication","溶接速度","ようせつそくど","Welding Speed","ဂဟေဆက်နှုန်း"
140,"Steel Fabrication","パス間温度","パスかんおんど","Interpass Temperature","ဂဟေတစ်ထပ်နှင့်တစ်ထပ်ကြား အပူချိန်"
141,"Steel Fabrication","溶接入熱","ようせつにゅうねつ","Heat Input (Welding)","ဂဟေဆက်ရာတွင် ဝင်ရောက်သည့် အပူပမာဏ"
142,"Steel Fabrication","冷却速度","れいきゃくそくど","Cooling Speed","အေးမြသွားသည့် နှုန်း"
143,"Steel Fabrication","開先","かいさき","Groove","ဂဟေဆက်ရန် ဖောက်ထားသော မြောင်း"
144,"Steel Fabrication","ルート間隔","ルートかんかく","Root Gap","အောက်ခြေ မြောင်းဖောက်ထားသည့် ခြားနားချက်"
145,"Steel Fabrication","ブローホール","ブローホール","Blowhole","လေခိုပေါက် (ဂဟေဆက် ချို့ယွင်းချက်)"
146,"Steel Fabrication","裏はつり","うらはつり","Back Gouging","ဂဟေနောက်ဖက်ကို ပြန်လည် ထွင်းဖော်ခြင်း"
147,"Steel Fabrication","被覆アーク溶接","ひふくアークようせつ","Shielded Metal Arc Welding (SMAW)","Shielde ကာ ဂဟေဆက်ခြင်း"
148,"Steel Fabrication","ガスシールドアーク溶接","ガスシールドアークようせつ","Gas Shielded Arc Welding","ဓာတ်ငွေ့ကာ ဂဟေဆက်ခြင်း"
149,"Steel Fabrication","サブマージアーク溶接","サブマージアークようせつ","Submerged Arc Welding (SAW)","အမှုန့်အောက် မြုပ်နှံ ဂဟေဆက်ခြင်း"
150,"Steel Fabrication","エレクトロスラグ溶接","エレクトロスラグようせつ","Electroslag Welding","လျှပ်စစ်စလက် ဂဟေဆက်ခြင်း"
151,"Steel Fabrication","セルフシールドアーク溶接","セルフシールドアークようせつ","Self-shielded Arc Welding","ကိုယ်တိုင်ကာကွယ် ဂဟေဆက်ခြင်း"
152,"Steel Fabrication","マグ溶接","マグようせつ","MAG Welding","MAG ဂဟေဆက်ခြင်း"
153,"Steel Fabrication","アークスタッド溶接","アークスタッドようせつ","Arc Stud Welding","အာ့ခ် သံချောင်းဆက် ဂဟေဆက်ခြင်း"
154,"Steel Fabrication","ロボット溶接","ロボットようせつ","Robot Welding","စက်ရုပ် ဂဟေဆက်ခြင်း"
155,"Steel Fabrication","低温割れ","ていおんわれ","Cold Cracking","အအေးဓာတ်ကြောင့် ကွဲအက်ခြင်း"
156,"Steel Fabrication","高温割れ","こうおんわれ","Hot Cracking","အပူချိန်မြင့်၍ ကွဲအက်ခြင်း"
157,"Steel Fabrication","拡散性水素","かくさんせいすいそ","Diffusible Hydrogen","ပျံ့နှံ့နိုင်သော ဟိုက်ဒရိုဂျင်"
158,"Steel Fabrication","溶け込み不良","とけこみふりょう","Lack of Penetration/Fusion","စိမ့်ဝင်မှု မပြည့်စုံခြင်း"
159,"Steel Fabrication","融合不良","ゆうごうふりょう","Lack of Fusion","သတ္တုသား ပေါင်းစပ်မှု မပြည့်စုံခြင်း"
160,"Steel Fabrication","スラグ巻込み","スラグまきこみ","Slag Inclusion","စလက် (Slag) အကျိုးများ"
161,"Steel Fabrication","溶接変形","ようせつへんけい","Welding Deformation","ဂဟေဆက်ခြင်းကြောင့် ပုံပျက်ခြင်း"
162,"Steel Fabrication","角変形","かくへんけい","Angular Deformation","ထောင့်ချိုး ပုံပျက်ခြင်း"
163,"Steel Fabrication","溶接線","ようせつせん","Weld Line","ဂဟေဆက်ထားသော လိုင်း"
164,"Steel Fabrication","素地調整","そじちょうせい","Surface Preparation","မျက်နှာပြင် ပြင်ဆင်ခြင်း"
165,"Steel Fabrication","ブラスト処理","ブラストしょり","Blasting Treatment","ပေါက်ကွဲမှုဖြင့် မျက်နှာပြင် ပြုပြင်ခြင်း"
166,"Steel Fabrication","塗装","とそう","Coating / Painting","ဆေးသုတ်ခြင်း"
167,"Steel Fabrication","耐久性","たいきゅうせい","Durability","ခံနိုင်ရည်ရှိမှု၊ တာရှည်ခံမှု"
168,"Steel Fabrication","鋼材","こうざい","Steel Material","သံမဏိပစ္စည်း"
169,"Steel Fabrication","加熱温度","かねつおんど","Heating Temperature","အပူပေးသည့် အပူချိန်"
170,"Steel Fabrication","水冷","すいれい","Water Cooling","ရေဖြင့် အအေးပေးခြင်း"
171,"Steel Fabrication","空冷","くうれい","Air Cooling","လေဖြင့် အအေးပေးခြင်း"
172,"Steel Fabrication","溶接光線","ようせつこうせん","Welding Light","ဂဟေဆက်ခြင်း အလင်းတန်း"
173,"Steel Fabrication","電撃","でんげき","Electric Shock","လျှပ်စစ် ရှော့ခ်ရခြင်း"
174,"Quality Control","品質管理","ひんしつかんり","Quality Control (QC)","အရည်အသွေး ထိန်းချုပ်ခြင်း"
175,"Quality Control","品質保証","ひんしつほしょう","Quality Assurance (QA)","အရည်အသွေး အာမခံခြင်း"
176,"Quality Control","設計図書","せっけいとしょ","Design Documents","ဒီဇိုင်းရေးဆွဲထားသော စာရွက်စာတမ်းများ"
177,"Quality Control","設計品質","せっけいひんしつ","Design Quality","ဒီဇိုင်းအရည်အသွေး"
178,"Quality Control","施工品質","せこうひんしつ","Construction Quality","တည်ဆောက်မှု အရည်အသွေး"
179,"Quality Control","顧客満足","こきゃくまんぞく","Customer Satisfaction","ဝယ်ယူသူ ကျေနပ်မှု"
180,"Quality Control","プロセス","プロセス","Process (Engineering)","လုပ်ငန်းစဉ်"
181,"Quality Control","不適合","ふてきごう","Non-conformity; Defect","စံမကိုက်ညီမှု၊ ချို့ယွင်းချက်"
182,"Quality Control","標準化","ひょうじゅんか","Standardization","စံပြုသတ်မှတ်ခြင်း"
183,"Quality Control","検証","けんしょう","Verification; Validation","စစ်ဆေးအတည်ပြုခြင်း"
184,"Quality Control","鉄骨製作者","てっこつせいさくしゃ","Steel Fabricator","သံမဏိ ထုတ်လုပ်သူ"
185,"Quality Control","管理資料","かんりしりょう","Management Materials","စီမံခန့်ခွဲမှု စာရွက်စာတမ်းများ"
186,"Quality Control","統計的品質管理","とうけいてきひんしつかんり","Statistical Quality Control (SQC)","စာရင်းအင်းနည်းဖြင့် အရည်အသွေး ထိန်းချုပ်ခြင်း"
187,"Quality Control","定量データ","ていりょうデータ","Quantitative Data","အရေအတွက်ဆိုင်ရာ အချက်အလက်"
188,"Quality Control","抜取検査","ぬきとりけんさ","Sampling Inspection","နမူနာထုတ်ယူ စစ်ဆေးခြင်း"
189,"Quality Control","ロット","ロット","Lot (Batch)","ကုန်ပစ္စည်း အစုအဝေး"
190,"Quality Control","不良率","ふりょうりつ","Defect Rate","ချို့ယွင်းမှုနှုန်း"
191,"Quality Control","OC 曲線","オーシーきょくせん","OC Curve","လုပ်ငန်းလက္ခဏာမျဉ်းကွေး"
192,"Quality Control","成分分析試験","せいぶんぶんせきしけん","Composition Analysis Test","ဓာတုဖွဲ့စည်းမှု ခွဲခြမ်းစိတ်ဖြာစမ်းသပ်မှု"
193,"Quality Control","溶鋼分析","ようこうぶんせき","Molten Steel Analysis","အရည်ဖျော်သံမဏိ ခွဲခြမ်းစိတ်ဖြာမှု"
194,"Quality Control","製品分析","せいひんぶんせき","Product Analysis","ထုတ်ကုန် ခွဲခြမ်းစိတ်ဖြာမှု"
195,"Quality Control","引張試験","ひっぱりしけん","Tensile Test","ဆွဲအား စမ်းသပ်ခြင်း"
196,"Quality Control","曲げ試験","まげしけん","Bending Test","ကွေးညွှတ်အား စမ်းသပ်ခြင်း"
197,"Quality Control","シャルピー衝撃試験","シャルピーしょうげきしけん","Charpy Impact Test","Charpy ရိုက်ခတ်မှု စမ်းသပ်ခြင်း"
198,"Quality Control","靭性","じんせい","Toughness; Ductility","ကြံ့ခိုင်မှု"
199,"Quality Control","介在物","かいざいぶつ","Inclusion","နိုင်ငံခြားပစ္စည်း (သတ္တုအတွင်း)"
200,"Quality Control","層状割れ","そうじょうわれ","Lamellar Tearing","အလွှာလိုက် ကွဲထွက်မှု"
201,"Quality Control","購入検査","こうにゅうけんさ","Purchase Inspection","ဝယ်ယူမှု စစ်ဆေးခြင်း"
202,"Quality Control","規格証明書","きかくしょうめいしょ","Standard Certificate","စံနှုန်း သက်သေခံလက်မှတ်"
203,"Quality Control","受入検査","うけいれけんさ","Acceptance Inspection","လက်ခံရယူမှု စစ်ဆေးခြင်း"
204,"Quality Control","中間検査","ちゅうかんけんさ","Intermediate Inspection","ကြားကာလ စစ်ဆေးခြင်း"
205,"Quality Control","書類検査","しょるいけんさ","Document Inspection","စာရွက်စာတမ်း စစ်ဆေးခြင်း"
206,"Quality Control","対象物検査","たいしょうぶつけんさ","Object/Physical Inspection","ပစ္စည်း/အရာဝတ္ထု စစ်ဆေးခြင်း"
207,"Quality Control","管理許容差","かんりきょようさ","Management Tolerance","စီမံခန့်ခွဲမှု ခွင့်ပြုချက်"
208,"Quality Control","限界許容差","げんかいきょようさ","Limit Tolerance","အကန့်အသတ် ခွင့်ပြုချက်"
209,"Quality Control","溶接部","ようせつぶ","Welded Part","ဂဟေဆက်ထားသော အစိတ်အပိုင်း"
210,"Quality Control","外観検査","がいかんけんさ","Visual Inspection","အပြင်ပန်းကြည့် စစ်ဆေးခြင်း"
211,"Quality Control","高力ボルト","こうりょくボルト","High-strength Bolt","ခံနိုင်ရည်အားမြင့်သော ဘောလ်"
212,"Quality Control","ナット回転量","ナットかいてんりょう","Nut Rotation Amount","နပ်လှည့်ပတ်မှု ပမာဏ"
213,"Quality Control","不具合処理","ふぐあいしょり","Defect Remediation","ချို့ယွင်းချက် ပြင်ဆင်ခြင်း"
214,"Quality Control","再発防止","さいはつぼうし","Recurrence Prevention","ထပ်မံဖြစ်ပွားခြင်းမှ ကာကွယ်ခြင်း"
215,"Quality Control","4M","4M","4M (Man, Machine, Material, Method)","လူ၊ စက်ပစ္စည်း၊ ကုန်ကြမ်း၊ နည်းလမ်း"
216,"Quality Control","トレーサビリティ","トレーサビリティ","Traceability","ကုန်ကြမ်းရာဇဝင် လိုက်ခြင်း"
217,"Quality Control","溶接欠陥","ようせつけっかん","Welding Defect","ဂဟေဆက် ချို့ယွင်းချက်"
218,"Quality Control","非破壊試験","ひはかいしけん","Non-destructive Testing (NDT)","မပျက်စီးစေဘဲ စမ်းသပ်ခြင်း"
